rank,list_name,entry_id,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace,subgroup
71,function_words,kw::tlatzintla::1,safe,safe: core_everyday_domain,tlatzintla,tlatzintla,tlatsintla,tlatzintla,"under, below",,prep,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,140,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlatzintla::sense-1,0.95,z > s,prep
72,function_words,kw::hasta::1,safe,safe: core_everyday_domain,hasta,hasta,hasta,hasta,until,,prep,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::hasta::sense-1,0.95,identity,prep
73,function_words,kw::ipan::3,safe,safe: core_everyday_domain,ipan,ipan,ipan,ipan,in,,prep,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ipan::sense-3,0.95,identity,prep
74,function_words,kw::queha::2,safe,safe: core_everyday_domain,queha,queha,keha,queha,"like, as",,prep,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::queha::sense-2,0.95,qu > k before front vowel,prep
75,function_words,kw::quehatza::2,safe,safe: core_everyday_domain,quehatza,quehatza,kehatsa,quehatza,"like, as",,prep,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quehatza::sense-2,0.95,qu > k before front vowel; z > s,prep
76,function_words,kw::huehcapa::1,safe,safe: core_everyday_domain,huehcapa,huehcapa,wehkapa,huehcapa,above,,prep,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::huehcapa::sense-1,0.95,hu> w before vowel; hard c > k,prep
77,function_words,kw::ax-aqui::1,safe,safe: core_everyday_domain,ax aqui,ax aqui,ax aki,ax aqui,nobody,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,148,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ax aqui::sense-1,0.95,qu > k before front vowel,pron
78,function_words,kw::iaxca::2,safe,safe: core_everyday_domain,iaxca,iaxca,iaxka,iaxca,"of him, her, it",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::iaxca::sense-2,0.95,hard c > k,pron
79,function_words,kw::ihuaya::1,safe,safe: core_everyday_domain,ihuaya,ihuaya,iwaya,ihuaya,"with him, her, it",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ihuaya::sense-1,0.95,hu> w before vowel,pron
80,function_words,kw::moaxca::1,safe,safe: core_everyday_domain,moaxca,moaxca,moaxka,moaxca,of you,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::moaxca::sense-1,0.95,hard c > k,pron
81,function_words,kw::na::2,safe,safe: core_everyday_domain,na,na,na,na,first person; I,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::na::sense-2,0.95,identity,pron
82,function_words,kw::naha::1,safe,safe: core_everyday_domain,naha,naha,naha,naha,first person; I,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::naha::sense-1,0.95,identity,pron
83,function_words,kw::ne::2,safe,safe: core_everyday_domain,ne,ne,ne,ne,that,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ne::sense-2,0.95,identity,pron
84,function_words,kw::ni::2,safe,safe: core_everyday_domain,ni,ni,ni,ni,this,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ni::sense-2,0.95,identity,pron
85,function_words,kw::noaxca::1,safe,safe: core_everyday_domain,noaxca,noaxca,noaxka,noaxca,of me,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::noaxca::sense-1,0.95,hard c > k,pron
86,function_words,kw::nopa::2,safe,safe: core_everyday_domain,nopa,nopa,nopa,nopa,that,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nopa::sense-2,0.95,identity,pron
