rank,list_name,entry_id,attestation_status,phase7_status,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace
119,core_ehn_500,kw::tlacua::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlacua,tlacua,tlakua,tlacua,to eat,,verb,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlacua::sense-2,0.95,hard c > k
120,core_ehn_500,kw::tlamacht-a::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlamachtía,tlamachtía,tlamachtía,tlamachtía,to teach,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlamachtía::sense-1,0.95,identity
121,core_ehn_500,kw::tlatoniya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlatoniya,tlatoniya,tlatoniya,tlatoniya,to be hot,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlatoniya::sense-1,0.95,identity
122,core_ehn_500,kw::tzompilihui::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tzompilihui,tzompilihui,tsompiliwi,tzompilihui,to have a cold,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tzompilihui::sense-2,0.95,hu> w before vowel; z > s
123,core_ehn_500,kw::queha-nopa::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,queha nopa,queha nopa,keha nopa,queha nopa,like that,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,128,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::queha nopa::sense-1,0.95,qu > k before front vowel
124,core_ehn_500,kw::conepiya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,conepiya,conepiya,konepiya,conepiya,to have a child,,verb,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,128,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::conepiya::sense-1,0.95,hard c > k
125,core_ehn_500,kw::mati::4,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,mati,mati,mati,mati,to know,,verb,time_calendar,EHN_colloquial,Eastern Huasteca Nahuatl,128,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::mati::sense-4,0.95,identity
126,core_ehn_500,kw::yolic-yolic::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,yolic yolic,yolic yolic,yolik yolik,yolic yolic,little by little,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,128,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yolic yolic::sense-1,0.95,hard c > k
127,core_ehn_500,kw::chicnahui::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,chicnahui,chicnahui,chiknawi,chicnahui,nine,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,127,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chicnahui::sense-2,0.95,hu> w before vowel; hard c > k
128,core_ehn_500,kw::mahtlactli::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,mahtlactli,mahtlactli,mahtlaktli,mahtlactli,ten,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,127,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::mahtlactli::sense-3,0.95,hard c > k
129,core_ehn_500,kw::ahqui::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ahqui,ahqui,ahki,ahqui,to swim,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,123,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ahqui::sense-1,0.95,qu > k before front vowel
130,core_ehn_500,kw::ayohtli::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ayohtli,ayohtli,ayohtli,ayohtli,"gourd, squash",,noun,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,123,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ayohtli::sense-3,0.95,identity
131,core_ehn_500,kw::chivo::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,chivo,chivo,chivo,chivo,goat,,noun,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,123,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chivo::sense-1,0.95,identity
132,core_ehn_500,kw::cholohua::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,cholohua,cholohua,cholowa,cholohua,to flee,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,123,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cholohua::sense-1,0.95,hu> w before vowel
133,core_ehn_500,kw::firmaroa::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,firmaroa,firmaroa,firmaroa,firmaroa,to sign,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,123,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::firmaroa::sense-1,0.95,identity
134,core_ehn_500,kw::gobierno::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,gobierno,gobierno,gobierno,gobierno,government,,noun,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,123,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::gobierno::sense-1,0.95,identity
135,core_ehn_500,kw::calaqui::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,calaqui,calaqui,kalaki,calaqui,to enter,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,123,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::calaqui::sense-2,0.95,qu > k before front vowel; hard c > k
136,core_ehn_500,kw::miqui::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,miqui,miqui,miki,miqui,to die,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,123,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::miqui::sense-3,0.95,qu > k before front vowel
137,core_ehn_500,kw::nehnemi::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nehnemi,nehnemi,nehnemi,nehnemi,to walk,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,123,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nehnemi::sense-2,0.95,identity
138,core_ehn_500,kw::tecotli::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tecotli,tecotli,tekotli,tecotli,god,,noun,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,123,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tecotli::sense-2,0.95,hard c > k
139,core_ehn_500,kw::tepaht-a::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tepahtía,tepahtía,tepahtía,tepahtía,to cure,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,123,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tepahtía::sense-1,0.95,identity
140,core_ehn_500,kw::tici::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tici,tici,tisi,tici,to grind,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,123,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tici::sense-1,0.95,soft c > s
141,core_ehn_500,kw::tlaxahua::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlaxahua,tlaxahua,tlaxawa,tlaxahua,to dig,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,123,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlaxahua::sense-1,0.95,hu> w before vowel
142,core_ehn_500,kw::toza::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,toza,toza,tosa,toza,gopher,,noun,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,123,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::toza::sense-1,0.95,z > s
143,core_ehn_500,kw::huetzi::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,huetzi,huetzi,wetsi,huetzi,to fall,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,123,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::huetzi::sense-2,0.95,hu> w before vowel; z > s
144,core_ehn_500,kw::huica::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,huica,huica,wika,huica,to sing,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,123,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::huica::sense-3,0.95,hu> w before vowel; hard c > k
145,core_ehn_500,kw::awiyak::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,awiyak,awiyak,awiyak,awiyak,good-smelling,,adj,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,121,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::awiyak::sense-2,0.95,identity
146,core_ehn_500,kw::cualli::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,cualli,cualli,kualli,cualli,good,,adj,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,121,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cualli::sense-3,0.95,hard c > k
147,core_ehn_500,kw::apipiyalotl::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,apipiyalotl,apipiyalotl,apipiyalotl,apipiyalotl,dragonfly,,noun,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,120,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::apipiyalotl::sense-2,0.95,identity
148,core_ehn_500,kw::atl::6,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,atl,atl,atl,atl,water,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,120,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::atl::sense-6,0.95,identity
149,core_ehn_500,kw::etamalli::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,etamalli,etamalli,etamalli,etamalli,bean tamale,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,120,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::etamalli::sense-3,0.95,identity
150,core_ehn_500,kw::etixtli::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,etixtli,etixtli,etixtli,etixtli,Dough made from ground beans,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,120,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::etixtli::sense-2,0.95,identity
151,core_ehn_500,kw::etl::4,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,etl,etl,etl,etl,bean,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,120,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::etl::sense-4,0.95,identity
152,core_ehn_500,kw::etzontli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,etzontli,etzontli,etsontli,etzontli,a bean bush,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,120,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::etzontli::sense-1,0.95,z > s
153,core_ehn_500,kw::eyoli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,eyoli,eyoli,eyoli,eyoli,bean seed,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,120,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::eyoli::sense-1,0.95,identity
154,core_ehn_500,kw::cahuatlehco::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,cahuatlehco,cahuatlehco,kawatlehko,cahuatlehco,to ride a horse,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,120,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cahuatlehco::sense-1,0.95,hu> w before vowel; hard c > k
155,core_ehn_500,kw::nakatl::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nakatl,nakatl,nakatl,nakatl,meat,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,120,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nakatl::sense-3,0.95,identity
156,core_ehn_500,kw::zayolnectli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,zayolnectli,zayolnectli,sayolnektli,zayolnectli,honey from a bee,,noun,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,120,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::zayolnectli::sense-1,0.95,z > s; hard c > k
157,core_ehn_500,kw::tlamachtihquetl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlamachtihquetl,tlamachtihquetl,tlamachtihketl,tlamachtihquetl,teacher,,noun,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,120,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlamachtihquetl::sense-1,0.95,qu > k before front vowel
158,core_ehn_500,kw::tlamamalli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlamamalli,tlamamalli,tlamamalli,tlamamalli,"load, cargo",,noun,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,120,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlamamalli::sense-1,0.95,identity
159,core_ehn_500,kw::tlanahuatihquetl::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlanahuatihquetl,tlanahuatihquetl,tlanawatihketl,tlanahuatihquetl,governor,,noun,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,120,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlanahuatihquetl::sense-2,0.95,hu> w before vowel; qu > k before front vowel
160,core_ehn_500,kw::tlanahuat-a::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlanahuatía,tlanahuatía,tlanawatía,tlanahuatía,to send,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,120,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlanahuatía::sense-2,0.95,hu> w before vowel
161,core_ehn_500,kw::waleyah::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,waleyah,waleyah,waleyah,waleyah,watermelon,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,120,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::waleyah::sense-1,0.95,identity
162,core_ehn_500,kw::amigo::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,amigo,amigo,amigo,amigo,friend,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,118,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::amigo::sense-1,0.95,identity
163,core_ehn_500,kw::siwatl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,siwatl,siwatl,siwatl,siwatl,woman,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,118,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::siwatl::sense-1,0.95,identity
164,core_ehn_500,kw::tlacatl::6,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlacatl,tlacatl,tlakatl,tlacatl,man,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,118,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlacatl::sense-6,0.95,hard c > k
165,core_ehn_500,kw::huampo::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,huampo,huampo,wampo,huampo,friend,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,118,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::huampo::sense-1,0.95,hu> w before vowel
166,core_ehn_500,kw::hueyi::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,hueyi,hueyi,weyi,hueyi,"big, great",,adj,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,118,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::hueyi::sense-3,0.95,hu> w before vowel
167,core_ehn_500,kw::exinachtli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,exinachtli,exinachtli,exinachtli,exinachtli,bean seed,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,117,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::exinachtli::sense-1,0.95,identity
168,core_ehn_500,kw::miquiliztli::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,miquiliztli,miquiliztli,mikilistli,miquiliztli,death,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,117,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::miquiliztli::sense-3,0.95,qu > k before front vowel; z > s
169,core_ehn_500,kw::tlaxcaloa::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlaxcaloa,tlaxcaloa,tlaxkaloa,tlaxcaloa,to make tortillas,,verb,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,117,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlaxcaloa::sense-1,0.95,hard c > k
170,core_ehn_500,kw::tlaxkaloa::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlaxkaloa,tlaxkaloa,tlaxkaloa,tlaxkaloa,To make tortillas,,verb,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,117,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlaxkaloa::sense-1,0.95,identity
171,core_ehn_500,kw::tzopelatl::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tzopelatl,tzopelatl,tsopelatl,tzopelatl,soda (drink),,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,117,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tzopelatl::sense-2,0.95,z > s
172,core_ehn_500,kw::amatl::6,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,amatl,amatl,amatl,amatl,paper,,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,116,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::amatl::sense-6,0.95,identity
173,core_ehn_500,kw::amatl::7,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,amatl,amatl,amatl,amatl,book,,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,116,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::amatl::sense-7,0.95,identity
174,core_ehn_500,kw::calli::5,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,calli,calli,kalli,calli,house,,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,116,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::calli::sense-5,0.95,hard c > k
175,core_ehn_500,kw::cartilla::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,cartilla,cartilla,kartilla,cartilla,"card, book",,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,116,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cartilla::sense-1,0.95,hard c > k
176,core_ehn_500,kw::libro::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,libro,libro,libro,libro,book,,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,116,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::libro::sense-1,0.95,identity
177,core_ehn_500,kw::alaxoxtontli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,alaxoxtontli,alaxoxtontli,alaxoxtontli,alaxoxtontli,mandarine,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::alaxoxtontli::sense-1,0.95,identity
178,core_ehn_500,kw::ichpocatl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ichpocatl,ichpocatl,ichpokatl,ichpocatl,young woman,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ichpocatl::sense-1,0.95,hard c > k
179,core_ehn_500,kw::camanalohquetl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,camanalohquetl,camanalohquetl,kamanalohketl,camanalohquetl,speaker,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::camanalohquetl::sense-1,0.95,qu > k before front vowel; hard c > k
180,core_ehn_500,kw::kamanaltiketl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,kamanaltiketl,kamanaltiketl,kamanaltiketl,kamanaltiketl,speaker,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::kamanaltiketl::sense-1,0.95,identity
181,core_ehn_500,kw::mangocuahuitl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,mangocuahuitl,mangocuahuitl,mangokuawitl,mangocuahuitl,mango tree,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::mangocuahuitl::sense-1,0.95,hu> w before vowel; hard c > k
182,core_ehn_500,kw::oquichtli::5,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,oquichtli,oquichtli,okichtli,oquichtli,man,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::oquichtli::sense-5,0.95,qu > k before front vowel
183,core_ehn_500,kw::otonlalax::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,otonlalax,otonlalax,otonlalax,otonlalax,mandarin orange,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::otonlalax::sense-2,0.95,identity
184,core_ehn_500,kw::pilconetzi::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,pilconetzi,pilconetzi,pilkonetsi,pilconetzi,child,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::pilconetzi::sense-1,0.95,z > s; hard c > k
185,core_ehn_500,kw::citlal-cetl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,citlal cetl,citlal cetl,sitlal setl,citlal cetl,snow,,noun,time_calendar,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::citlal cetl::sense-1,0.95,soft c > s
186,core_ehn_500,kw::telpokatl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,telpokatl,telpokatl,telpokatl,telpokatl,"young person, young man",,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::telpokatl::sense-1,0.95,identity
187,core_ehn_500,kw::huacaxcuitlatl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,huacaxcuitlatl,huacaxcuitlatl,wakaxkuitlatl,huacaxcuitlatl,cow manure,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::huacaxcuitlatl::sense-1,0.95,hu> w before vowel; hard c > k
188,core_ehn_500,kw::huehuentzi::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,huehuentzi,huehuentzi,wewentsi,huehuentzi,old man,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::huehuentzi::sense-2,0.95,hu> w before vowel; z > s
189,core_ehn_500,kw::pezohtli::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,pezohtli,pezohtli,pesohtli,pezohtli,"badger, coati",,noun,quality_color,EHN_colloquial,Eastern Huasteca Nahuatl,114,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::pezohtli::sense-3,0.95,z > s
190,core_ehn_500,kw::tleno::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tleno,tleno,tleno,tleno,nothing,,noun,quality_color,EHN_colloquial,Eastern Huasteca Nahuatl,114,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tleno::sense-1,0.95,identity
191,core_ehn_500,kw::metatl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,metatl,metatl,metatl,metatl,"metate, grinding stone",,noun,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,113,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::metatl::sense-1,0.95,identity
192,core_ehn_500,kw::zacacalli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,zacacalli,zacacalli,sakakalli,zacacalli,hay storehouse,,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,113,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::zacacalli::sense-1,0.95,z > s; hard c > k
193,core_ehn_500,kw::soldado::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,soldado,soldado,soldado,soldado,soldier,,noun,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,113,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::soldado::sense-1,0.95,identity
194,core_ehn_500,kw::tizquetl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tizquetl,tizquetl,tisketl,tizquetl,"a miller, grinder",,noun,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,113,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tizquetl::sense-1,0.95,qu > k before front vowel; z > s
195,core_ehn_500,kw::tlapechtli::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlapechtli,tlapechtli,tlapechtli,tlapechtli,bed,,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,113,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlapechtli::sense-3,0.95,identity
196,core_ehn_500,kw::onca::1,EHN_attested,approved_core_candidate,safe,safe: general_everyday_candidate,onca,onca,onka,onca,there is,,verb,general,EHN_colloquial,Eastern Huasteca Nahuatl,112,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::onca::sense-1,0.95,hard c > k
197,core_ehn_500,kw::huetztoc::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,huetztoc,huetztoc,wetstok,huetztoc,fallen,,adj,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,111,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::huetztoc::sense-1,0.95,hu> w before vowel; z > s; hard c > k
198,core_ehn_500,kw::alaxox::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,alaxox,alaxox,alaxox,alaxox,orange,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,110,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::alaxox::sense-1,0.95,identity
199,core_ehn_500,kw::awakatl::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,awakatl,awakatl,awakatl,awakatl,avocado,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,110,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::awakatl::sense-2,0.95,identity
200,core_ehn_500,kw::chilli::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,chilli,chilli,chilli,chilli,chili pepper,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,110,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chilli::sense-3,0.95,identity
