rank,list_name,entry_id,attestation_status,phase7_status,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace
239,core_ehn_500,kw::coto::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,coto,coto,koto,coto,shirt,,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,106,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::coto::sense-1,0.95,hard c > k
240,core_ehn_500,kw::mesa::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,mesa,mesa,mesa,mesa,table,,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,106,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::mesa::sense-1,0.95,identity
241,core_ehn_500,kw::puerta::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,puerta,puerta,puerta,puerta,door,,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,106,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::puerta::sense-1,0.95,identity
242,core_ehn_500,kw::siya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,siya,siya,siya,siya,chair,,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,106,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::siya::sense-1,0.95,identity
243,core_ehn_500,kw::huapalli::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,huapalli,huapalli,wapalli,huapalli,table,,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,106,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::huapalli::sense-2,0.95,hu> w before vowel
244,core_ehn_500,kw::yoyomitl::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,yoyomitl,yoyomitl,yoyomitl,yoyomitl,clothing,,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,106,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yoyomitl::sense-2,0.95,identity
245,core_ehn_500,kw::achtihuiehquetl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,achtihuiehquetl,achtihuiehquetl,achtiwiehketl,achtihuiehquetl,The oldest son or daughter,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,105,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::achtihuiehquetl::sense-1,0.95,hu> w before vowel; qu > k before front vowel
246,core_ehn_500,kw::ixcafentic::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ixcafentic,ixcafentic,ixkafentik,ixcafentic,"coffee color, brown",,adj,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,105,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ixcafentic::sense-1,0.95,hard c > k
247,core_ehn_500,kw::caltlacatl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,caltlacatl,caltlacatl,kaltlakatl,caltlacatl,person,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,105,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::caltlacatl::sense-1,0.95,hard c > k
248,core_ehn_500,kw::kokoxketl::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,kokoxketl,kokoxketl,kokoxketl,kokoxketl,a sick person,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,105,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::kokoxketl::sense-3,0.95,identity
249,core_ehn_500,kw::tlahtolcuatacani::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlahtolcuatacani,tlahtolcuatacani,tlahtolkuatakani,tlahtolcuatacani,a well-spoken person,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,105,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlahtolcuatacani::sense-1,0.95,hard c > k
250,core_ehn_500,kw::tlapohualiztli::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlapohualiztli,tlapohualiztli,tlapowalistli,tlapohualiztli,lesson,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,105,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlapohualiztli::sense-2,0.95,hu> w before vowel; z > s
