priority_id,headword,gloss_en,part_of_speech,first_lesson_number,lesson_frequency,occurrence_count,linked_entry_count,avg_confidence,lessons_json
FCN-VP-00124,cemilhuitl,,,7,2,2,0,0.4,"[7, 29]"
FCN-VP-00125,chīlli,,,7,2,2,0,0.4,"[7, 22]"
FCN-VP-00126,mēhua,,,7,2,2,0,0.4,"[7, 22]"
FCN-VP-00127,nitlahtzoma,,,7,2,2,0,0.4,"[7, 11]"
FCN-VP-00128,pantzin,,,7,2,2,0,0.4,"[7, 18]"
FCN-VP-00129,quiitta,,,7,2,2,0,0.4,"[7, 29]"
FCN-VP-00130,quimāna,,,7,2,2,0,0.4,"[7, 22]"
FCN-VP-00131,tlacualchīhua,,,7,2,2,0,0.4,"[7, 22]"
FCN-VP-00132,tlahcotōna,,,7,2,2,0,0.4,"[7, 19]"
FCN-VP-00133,tlami,"to end, to finish",verb,7,2,2,1,0.9,"[7, 31]"
FCN-VP-00134,ītōnal,,,7,2,2,0,0.4,"[7, 31]"
FCN-VP-00135,cīntli,,,8,2,2,0,0.4,"[8, 22]"
FCN-VP-00136,hui,,,8,2,2,0,0.4,"[8, 20]"
FCN-VP-00137,itōcah,,,8,2,2,0,0.4,"[8, 31]"
FCN-VP-00138,mohmōztlah,,,8,2,2,0,0.4,"[8, 24]"
FCN-VP-00139,pāmeh,,,8,2,2,0,0.4,"[8, 10]"
FCN-VP-00140,quicocōa,,,8,2,2,0,0.4,"[8, 29]"
FCN-VP-00141,quipoz,,,8,2,2,0,0.4,"[8, 20]"
FCN-VP-00142,tlatlahco,,,8,2,2,0,0.4,"[8, 22]"
FCN-VP-00143,īchichi,,,8,2,2,0,0.4,"[8, 24]"
FCN-VP-00144,inintōcah,,,9,2,2,0,0.4,"[9, 31]"
FCN-VP-00145,motōcaxtilli,,,9,2,2,0,0.4,"[9, 23]"
FCN-VP-00146,quipōz,,,9,2,2,0,0.4,"[9, 23]"
FCN-VP-00147,īchocho,,,9,2,2,0,0.4,"[9, 24]"
FCN-VP-00148,īteco,,,9,2,2,0,0.4,"[9, 23]"
FCN-VP-00149,chicometepetl,,,10,2,2,0,0.4,"[10, 16]"
FCN-VP-00150,chīchīltic,,,10,2,2,0,0.4,"[10, 29]"
FCN-VP-00151,huahcapantic,,,10,2,2,0,0.4,"[10, 22]"
FCN-VP-00152,nahua,,,11,2,2,0,0.4,"[11, 22]"
FCN-VP-00153,tlācatl,,,11,2,2,0,0.4,"[11, 22]"
FCN-VP-00154,īnechca,,,11,2,2,0,0.4,"[11, 25]"
FCN-VP-00155,caltlamachtihcān,,,12,2,2,0,0.4,"[12, 13]"
FCN-VP-00156,tequitiz,,,12,2,2,0,0.4,"[12, 31]"
FCN-VP-00157,tlaixpiyalli,,,12,2,2,0,0.4,"[12, 24]"
FCN-VP-00158,qui,,,13,2,2,0,0.4,"[13, 26]"
FCN-VP-00159,tlachi,,,13,2,2,0,0.4,"[13, 17]"
FCN-VP-00160,queh,,,14,2,2,0,0.4,"[14, 15]"
FCN-VP-00161,-qui,person or thing that does an action indicated by the root verb; used to form an agent noun.,suffix,15,2,2,1,0.9,"[15, 26]"
FCN-VP-00162,quīzqui,,,15,2,2,0,0.4,"[15, 31]"
FCN-VP-00163,mo-,,prefix,17,2,2,1,0.9,"[17, 23]"
FCN-VP-00164,mochihchīhua,,,17,2,2,0,0.4,"[17, 22]"
FCN-VP-00165,mocuā,,,17,2,2,0,0.4,"[17, 22]"
FCN-VP-00166,catlinya,,,18,2,2,0,0.4,"[18, 22]"
FCN-VP-00167,chīltlaxcalli,,,18,2,2,0,0.4,"[18, 19]"
FCN-VP-00168,tequtil,,,18,2,2,0,0.4,"[18, 21]"
FCN-VP-00169,tlacualiztli,food.,noun,18,2,2,1,0.9,"[18, 22]"
